cell_id,cycle,height_mean,height_std,height_median,roughness_mean,roughness_std,roughness_median,length_mean,length_std,length_median,wideth_mean,wideth_std,wideth_median,adhesion_mean,adhesion_std,adhesion_median,elastic_modulus_mean,elastic_modulus_std,elastic_modulus_median
0,P4,3.3932499999999997,0.04210872518661777,3.41,100.3265,19.411069895131597,101.02000000000001,69.569,0.48740883088128034,69.63,27.670499999999997,0.7929058814525873,27.675,457.755,5.7407568728944005,454.95,3.15435,0.3720898695915163,3.09
1,P4,3.3192,0.07033274299245083,3.333,123.045,15.316708283165116,123.6,102.2,0.8117557319914964,102.3,24.9635,2.216717048629395,24.46,517.6899999999999,9.52668827419499,515.8,3.0423999999999998,0.0880253551989126,3.0525
2,P4,2.3021000000000003,0.033297542188417885,2.309,122.33999999999999,13.21742868536205,120.7,96.265,0.5876671094922199,96.46000000000001,36.133500000000005,0.5071621250178614,36.120000000000005,519.86,12.041349810679788,516.3,2.30075,0.25203526799991594,2.34
3,P4,2.90625,0.04647565859786434,2.928,115.4,30.187623814718293,116.05000000000001,77.1185,0.27938419124172703,77.065,24.0195,0.4301343119489408,23.975,523.015,6.6145990847995835,520.65,2.5566,0.17834484632454708,2.5454999999999997
4,P4,2.73455,0.05743323354809019,2.7430000000000003,115.57000000000001,18.818946220288353,117.0,98.853,0.3219856158931781,98.8,26.122000000000003,0.38678975657257736,26.15,524.345,3.313048365732697,524.8,3.757,0.20079054286809228,3.7649999999999997
5,P4,2.3415,0.06355395552723603,2.354,127.1655,34.42517231925682,118.25,103.44500000000001,0.4285532577601562,103.55,24.9065,0.36795701980129775,24.85,463.16999999999996,8.350928092134433,459.95,3.05865,0.24183797860290035,3.084
6,P4,2.2954499999999998,0.08736762919742602,2.3405,116.62,19.133673815663595,110.75,84.0805,0.5837760475423794,84.13,20.9945,0.25159438952827484,20.97,469.03000000000003,2.3976084575654717,468.75,3.9767,0.37903479912452404,3.894
7,P4,3.05855,0.08381337350892985,3.0495,108.93499999999999,16.27048587247215,108.1,95.43,0.46297663917421567,95.34,37.277,0.7688070047328611,37.230000000000004,503.18,9.852790147172062,500.55,2.55675,0.11015294391268703,2.544
8,P4,2.4383,0.043288627411340916,2.4505,128.84949999999998,25.961256249508256,126.75,97.4255,0.3441002760824273,97.43,15.6155,0.8076051341042717,15.5,496.325,4.590708579637555,495.35,3.091,0.23688260472447656,3.051
9,P4,3.31815,0.07423169630853159,3.319,105.57000000000001,13.75255382982031,102.55000000000001,93.8245,0.699191073952418,93.70500000000001,26.684500000000003,0.5091528051060578,26.67,514.075,3.3721576725326923,513.2,3.34275,0.7861185041910532,3.5395000000000003
10,P4,2.9043,0.041163473844506464,2.9065,112.44000000000001,15.821351329603198,109.25,100.043,0.5870362671482631,99.95,30.565500000000004,0.36338286319412155,30.54,519.705,5.2908535775380825,518.25,2.4483,0.29661300322846695,2.3645
11,P4,3.1389,0.05903424519093276,3.1525,112.86500000000001,16.97252501141648,110.2,79.7645,0.37405987418284187,79.75,34.298,0.36624122048036684,34.285,492.6,9.682594258717407,491.45,2.51905,0.370664336023848,2.5395000000000003
12,P4,2.9669499999999998,0.08462143252217633,2.973,117.10499999999999,10.585664337852595,114.35,97.9595,0.5097933017668191,97.985,22.6,0.5136146415358505,22.59,429.65,14.44894824072528,426.95000000000005,3.7909999999999995,0.14554507350320234,3.7615
13,P4,2.0041,0.08205255055530938,2.0145,119.52000000000001,14.051356930166827,115.05,107.125,0.5485627153130144,107.15,33.2725,0.46263404885275966,33.235,474.12,10.008922335386037,474.9,2.98775,0.14478836642711163,2.9805
14,P4,2.4530000000000003,0.021376327290277414,2.4495,110.995,12.59454664778204,109.95,111.55999999999999,0.4121828924665676,111.55,20.116,0.47183181660194806,20.15,443.20500000000004,5.754675444687066,442.1,3.4903500000000003,0.37561756516856076,3.5170000000000003
